13º salário;Christmas bonus
índice de preços de atacado;wholesale price index
índice de preços de varejo;retail price index
Índice de Reajuste do Salário Mínimo - IRSM;Minimum Salary Readjustment Index
índice de retorno sobre vendas líquidas;ratio of net income to net sales
Índice de Salários Nominais - ISN;Nominal Salaries Index
Índice Geral de Preços - IGP;General Price Index - IGP
Índice Geral de Preços - Mercado - IGP-M;General Market Price Index
indisputável;indisputable
indução;induction
indústria de mão-de-obra intensiva;labor intensive industry
indústrias de alta-tecnologia;high-tech industries
ineficaz;ineffective
ineficiente;inefficient
inesperado;unforeseen
inexeqüível;unfeasible
inexperiente;unskilled
inflação;inflation
inflação desenfreada;runaway inflation
influência;influence
influenciar;bias
influxo;inflow
informação contábil;accounting information
informação privilegiada;privileged information
informações;information (never plural)
informações confidenciais obtidas de pessoal interno da empresa;insider information
informações dirigidas;targeted information
informações financeiras prospectivas;prospective financial information
informações financeiras suplementares;supplemental financial information
informações trimestrais - ITRs;quarterly information
Informe de Rendimentos e Retenção na Fonte - IRRF;Income and Tax Withholdings Return
infração;infringement, malfeasance
infra-estrutura;infrastructure
início;inception, beginning
início das atividades;start up
inidôneo, incapaz;incapable
inigualado;unequaled
inigualável;unique
ininterrupto;non-stop
injunção (usufruto);usufruct
injustificado;unwarranted
injusto;undue, unfair
inoportuno;ill-timed
inovação;innovation
insalubre;unhealthy
insatisfatório;unsatisfactory
inseguro;unsafe
insenção de impostos;tax exemption
inserir;insert
insolvência;insolvency
insolvente;insolvent
inspecionar;inspect
inspectores de órgãos de supervisão governamental;supervisory agency examiners
inspectores de órgãos normativos;regulatory examiners
inspetor de banco;bank examiner
instalações;facilities
instalações conjuntas;joint facilities
instalações e equipamentos;fixtures and equipment
instalações industriais;industrial facilities
instalações ociosas;idle facilities
instância;instance
instauração de processo;initiation of legal action
instável, inconstante;unstable
instituição financeira;financial institution
Instituto Brasileiro de Contadores - IBRACON;Brazilian Institute of Accountants - IBRACON
Instituto Brasileiro de Desenvolvimento Florestal - IBDF;Brazilian Institute of Forestry Development
Instituto Brasileiro de Geografia e Estatística - IBGE;Brazilian Institute of Geography and Statistics - IBGE
Instituto Brasileiro de Opinião Pública e Estatística - IBOPE;Brazilian Institute of Public Opinion and Statistics - IBOPE
Instituto Brasileiro do Café - IBC;Brazilian Coffee Institute
Instituto Brasileiro do Meio Ambiente - IBAMA;Brazilian Institute of the Environment - IBAMA
Instituto Brasileiro do Mercado de Capitais - IBMEC;Brazilian Institute of Capital Markets - IBMEC
Instituto de Administração Financeira da Previdência e Assistência Social - IAPAS;Institute of Financial Administration of Social Security
Instituto de Auditores Internos;Institute of Internal Auditors
Instituto de Organização Racional do Trabalho - IDORT;Institute of Work Organization
Instituto de Pesquisas Tecnológicas - IPT;Institute for Technological Research
Instituto de Resseguros do Brasil - IRB;Brazilian Reinsurance Institute
Instituto Nacional da Assistência Médica da Previdência Social - INAMPS;National Institute of Social Medical Assistance
Instituto Nacional da Propriedade Industrial - INPI;National Institute of Industrial Property - INPI
Instituto Nacional de Colonização e Reforma Agrária - INCRA;National Institute of Colonization and Agrarian Reform
Instituto Nacional de Pesos e Medidas - INPM;National Institute of Weights and Measures
Instituto Nacional do Seguro Social - INSS;National Institute of Social Security, Brazilian Social Security Institute - INSS
instrução de processo;filing of supporting documents
instrução e relatório;instruction and reporting
Instrução Normativa (fiscal) - IN;Regulatory Instruction (tax)
instruções;instructions
instruir alguém para uma tarefa;brief
instrumental;instrumental
instrumento de dissolução de uma empresa;articles of dissolution
instrumentos financeiros;financial instruments
insuficiência;deficiency, shortage
insuficiência de liquidez;liquidity shortage
insuficiência de pessoal;understaffed
insumo;input
intangível;intagible
integração horizontal;horizontal integration
integração vertical;vertical integration
integralização de capital;payment of capital
inteiramente novo;brand-new
inteiramente, integralmente;entirely
inteireza, integridade (de transação);completeness (of a transation)
inteiro, íntegro;entire
intempestivo;ill-timed
interação;interaction
intercâmbio;interchange
interdependência;interdependence
interescritórios;interoffice
interesses (direito de propriedade) sobre as ações;equity interest
interestadual;interstate
intermediação;intermediation
intermediário, atravessador;"middleman, intermediary; intermediate"
interpelação;judicial notification
interpolação;interpolation
interpretar;interpret
interpretar mal;misinterpret
interromper;adjourn
interrupções anormais;abnormal stoppages, terminations
intimação;subpoena
intrínseco;built-in
introdução;introduction
intruso;outsider
"inválido (s); invalidar (v)";void (n) (v)
inventário;inventory
inventário físico;physical inventory-taking
investida;investee
investidor;investor
investidor institucional;institutional investor
investigação de assuntos do meio ambiente;environmental investigation
investimento de renda fixa;fixed-income investment
investimento estrangeiro;foreign investment
investimentos;investments, holdings
investimentos altamente líquidos;cash equivalents
involução;involution
irregular;irregular
irrelevante;immaterial
irrevogável;irrevocable
irrigação;irrigation
"isentar (v); isento (s)";exempt (v) (n)
isentar de resposabilidade;hld harmless
isento de débitos;free of charge
isento de encargos;free of charge
isento de tarifas;duty-free
isolar;insulate
item compensatório;balancing item
item de cobrança;collection item
item em processo de cobrança;item in the course of collection
item extraordinário;extraordinary item
item não-usual;unusual item
itens de caixa;cash items
itens diversos;miscellaneous items
itens em suspenso;suspense items
itinerário;itinerary
jazida mineral;mining deposit
jogo limpo;fair play
jóia (para admissão em clube etc.);entrance fee
jornal;daily newspaper
julgamento;ruling
junta comercial;board of trade (USA), commercial registry (UK)
Junta de Conciliação e Julgamento - JCJ;Conciliation and Judgment Council (for individual labor agreements)
juntar;bring together
juramento;oath
júri principal;grand jury
júri, jurados;jury
jurisdição;"jurisdiction; district"
jurisdição fiscal;tax jurisdiction
jurisprudência;precedent
juro líquido;net interest
juro negativo;negative interest
juro provisionado;accrued interest
juros;interest
juros;interest
juros (com);interest-bearing
juros (sem);interest-free
juros compostos;compound interest
juros de mora;"arrears interest; interest on arrears"
juros embutidos, juros implícitos;implicit interest
juros imputados;imputed interest
juros máximos (em contratos de opção), limite superior;cap
juros mínimos (em contrato de opção);floor
juros simples;simple interest
juros sobre empréstimos cuja possibilidade de cobrança é precária;interest on non-accrual loans
justiça;justice
justo;fair
justo valor de mercado;fair market value
lacrado;sealed
lacuna;vacancy
lançador de uma opção;writer
lançamento contábil;accounting entry
lançamento de abertura;opening entry
lançamento de correção;correcting entry
lançamento de diário;journal entry
lançamento de retificação;adjusting entry
lançamento fiscal;tax assessment
lançamento nos livros;posting
lançamento nos livros contábeis;book entry
lançamento ou emissão de títulos no mercado;flotation, offering
lançamentos compensatórios;compensating entries
lançar;enter, post (in books, etc.)
lançar no diário;journalize
latifundiário;owner of a large estate
latifúndio;large estate
laudo de avaliação;appraisal report
lavoura;farming
legado;bequest, legacy
legalizar;validate
Legião Brasileira de Assistência - LBA;Brazilian Legion of Assistance
legislação;legislation
legislação societária;corporate legislation
legislação tributária;tax legislation
legítimo;legitimate
lei;law
lei adjetiva;procedural law
Lei Antitruste;Antitrust Act
lei comercial;business law
Lei das Falências;Bankruptcy Act
Lei das Sociedades por Ações;Corporation Law
lei do menor esforço;least effort principle
lei fiscal;tax law
lei ordinária;ordinary law
lei substantiva;substantive law
leigo;layman
leilão;auction
leilão de swaps;swap auction
leitura rápida;scroll
lembrete, lembrança;reminder
letra (título) ao portador;bearer bill
letra de câmbio;bill of exchange
letra de câmbio a prazo;time draft
letra de câmbio com vencimento superior a três meses a partir da data de emissão;long bill
letra de câmbio comercial;trade bill of exchange
letra de câmbio de comércio exterior acompanhada dos documentos que deram origem ao saque;documentary bill of exchange
Letra do Tesouro Nacional - LTN;National Treasury Bill
letra do tesouro não-reajustável;non-indexed treasury bill
Letra Financeira do Tesouro - LFT;Financial Treasury Bill
letra reajustável do tesouro;index treasury bill, reajustable treasury bill
letras mantidas para cobrança;bills held for collection
levantamento;"survey; inventory"
levantamento de dados;fact-finding
levar adiante;carry out
levar um projeto até o final;following through
liberar;release
licença;"leave; license; franchise"
licença com autorização;leave of absence, furlough
licença maternidade;maternity leave
licença paternidade;paternity leave
licitação;invitation to bid, bidding, tender
licitação pública;public tender
líder;leader
liderança;leadership
liga metálica;alloy
ligação;association
ligeiro(a);slight
limbo;limbo
liminar;preliminary court order, preliminary injunction
limitações ao escopo do exame;scope limitations
limitações estatutárias;statutory limitations
limite de crédito;credit limit
limite de endividamento;borrowing limit
limite máximo da capacidade;full capacity
linear;linear, straight-line
linha de crédito;credit line, line of credit
linha de espera;waiting line, queue
linha de lucro (prejuízo) final de um período na demonstração do resultado (a última linha);bottom line
linha de montagem;assembly line
linha de produção;production line
linha de produtos;product line
linha de responsabilidade principal;primary reporting responsibility
linha divisória;borderline
linhas de crédito rotativo;revolving lines of credit
linhas de orientação;guidelines
linho;flax, linen
liquidação;"settlement; extinguishment; liquidation"
liquidação de dívida;debt clean-up
liquidação direta;direct settlement
liquidante;liquidator
liquidez;marketability, liquidity
liquidez do mercado;market liquidity
líquido de imposto;net of tax
lista de embarque;packing list, manifest
lista de espera;waiting list
lista de pendências;to do list
lista de saldos segundo os vencimentos;aging list, ageing list
lista de verificação;checklist
lista negra;black list
listagem de cheques sustados;stop-check list
litígio;litigation
litígio trabalhista;labor litigation dispute
livre a bordo - FOB;Free On Board - FOB
livre ao lado do navio - FAS;Free Alongside Ship - FAS
livre empresa;free company
livre iniciativa;free enterprise
livrete;booklet
Livro de Apuração do Lucro Real - LALUR;Taxable Income Control Register, tax calculation book - LALUR
livro de atas;minute book
livro esgotado no mercado;out-of-print
livro-caixa;cash-book
livros contábeis;accounting books
lobista (executor do lobby);lobbyist
local de trabalho;work place
localização;location
locatário;tenant
logo que possível;as soon as possible - ASAP
logo que puder;at your earliest convenience
logotipo;logotype
loja de departamentos;department store
lote;"batch; lot; plot of land"
lote econômico;economic lot size
ltda. - limitada;limited liability partnership - ltda.
lucrativo;profitable
lucro;earnings, gain, profit, income
lucro antes do imposto de renda;pretax income, income before income tax
lucro bruto;gross profit
lucro departamental;departmental profit
lucro em atividades secundárias;downstream profit
lucro em transações entre departamentos da mesma empresa;interdepartmental profit
lucro entre empresas do mesmo grupo;intercompany profit
lucro escritural;paper profit
lucro estimado, lucro previsto;anticipated profit
lucro futuro, descontado ao valor presente;discounted future earnings
lucro imprevisto;windfall profit
lucro inflacionário;inflation gain
lucro líquido;net profit, net income
lucro líquido por ação;net income per share
lucro marginal;marginal income
lucro monetário;monetary gain
lucro na conversão;translation gain
lucro não-operacional;non-operating income
lucro não-realizado;unearned income, unrealized profit
lucro no papel;paper profit
lucro operacional, lucro das operações;operating profit, income from operations
lucro operacional, prejuízo operacional;operating profit, operating loss
lucro ou prejuízo não-reconhecido (não-contabilizado);unrecognized gain or loss
lucro por ação;earnings per share - EPS
lucro presumido;presumed profit
lucro projetado;projected profit
lucro real;taxable income
lucro realizado, prejuízo realizado;realized gain, realized loss
lucro tributável;taxable income
lucro vegetativo;holding gain
lucros acumulados;retained earnings, earned surplus
lucros acumulados de entidade adquirida;acquired surplus
lucros acumulados disponíveis;available surplus
lucros acumulados não-distribuídos;unappropriated retained earnings
lucros excedentes;excess profits
lucros não-distribuídos;undistributed profits
lucros retidos (acumulados) restritos;restricted retained earnings
luvas;key money
luz verde;green light
macroeconomia;macroeconomics
má-fé;"mala fide; bad faith"
maior;higher
Maior Valor de Referência - MVR;Highest Reference Value
maioria absoluta;majority
mais além;further
mais-valia;appreciation
malogro;flop
malsucedido;unsuccessful
malversação;misappropriation
mandado;writ, mandate
mandado de segurança;injunction
mandato;term of office
mandatório;mandatory
manejável;manageable
manifesto;manifest
manipulação;manipulation
"manipulação de contas de empresa para melhorá-las; camuflagem";window-dressing
manter (registros, etc.);keep (books, etc.)
manual de contabilidade;accounting manual
Manual de Normas e Instruções (Instituições Financeiras) - MNI;Manual of Rules and Instructions for Financial Institutions
Manual de Orientação de Pessoa Jurídica (IR) - MAJUR;Instruciton Manual for Corporate Income Tax - MAJUR
manual de políticas;policy manual
manuseio de materiais;materials handling
manutenção;maintenance, upkeep
manutenção de um preço fixo no mercado;pegging
mão-de-obra;labor, manpower, workforce, labor force
mão-de-obra direta;direct labor
mão-de-obra especializada;skilled labor, skilled workers
mão-de-obra indireta;indirect labor
mão-de-obra qualificada;skilled manpower, skilled labor, skilled workers
máquina picotadeira;shredder
máquina, motor;engine
maquinário, maquinaria;machinery
máquinas e equipamentos;machinery and equipment
marca;make, brand
marca comercial;brand
marca registrada;trademark
marcas e patentes;trademarks and patents
margem bruta;gross margin
margem de contribuição;margin of contribution
margem de lucro;"profit margin; spread"
margem de lucro bruto;gross profit margin
margem de segurança;margin of safety, safety margin
margem líquida;net margin
margem operacional;operating margin
massa falida;bankrupt estate
materais para manutenção;maintenance materials
materiais consumíveis;consumable stores
material;material
material de consumo;consumption materials
material de embalagem;packing material
material de escritório;office supplies
material direto;direct material
material indireto;indirect material
matéria-prima;raw material
matriz;"head office, home office, main office; headquarters; matrix"
maturidade;expiration date, maturity date
mau funcionamento;malfunction
mau pagador;delinquent
maximização;maximization
maximização de rentabilidade, maximização de lucratividade;profit maximization
máximo;maximum
mecânica;mechanics
mecanismo;mechanism
média aritmétrica;arithmetic mean
média geométrica;geometric mean
média móvel;moving average
média ponderada;weighted average
média proporcional;proportional mean
média simples;simple average
"média; médio";"average; mean"
mediante um lucro;at a profit
"mediato (s); mediar (v)";mediate (n) (v)
medição da inflação;measurement of inflation
medição, mensuração;measurement
medida;measure, degree
medida de uma jarda;yardstick
Medida Provisória - MP;Provisional Measure - MP
médio prazo;medium term
meio circulante;money supply, circulating medium
meio de pagamento;medium of exchange
meio empresarial;business community
meio expediente;"half-time; part-time"
meios;ways and means
meios de informação;mass media
meios de pagamento;means of payment
melhor compra;best buy
melhor do conhecimento e crença;best of knowledge and belief
melhoramento;improvement, betterment
melhoramentos em terrenos;land improvement
membro;member
membro de uma organização;fellow member
memorando de controle interno;internal control memorandum
memorando, memorandos;memorandum, memoranda
menor rigor na concessão de crédito;loosening of credit
menos;minus
mensagem, missão;errand, mission
mensalão;optional monthly income tax - individuals
mensalidade, prestação mensal;monthly installment
mensalista;salary earner
mentor;mastermind
menu de opções;cafeteria menu
mercado;market, mart
mercado aberto;open market
mercado acionário, mercado de ações;stock market
mercado de balcão;over-the-counter market
mercado de capitais;capital market
mercado de dinheiro;money market
mercado de eurodólares;eurodollar market
mercado de nível médio;middle market
mercado de opções;options market
mercado de operações de hedge;hedge operations market
mercado de trabalho;labor market
Mercado do Cone Sul - MERCOSUL;South Cone Market - Mercosur
mercado dominado por vendedores;sellers' market
mercado externo;foreign market
mercado extra-oficial;non-official market
mercado financeiro;money market, financial market
mercado financeiro de futuros;financial futures
mercado fracionário;odd lot market
mercado interbancário de colocações;interbank placement market
mercado interno local;home market, domestic market
mercado livre;free market
mercado livre e aberto;free and open market
mercado negro;black market
mercado paralelo;parallel market
mercado primário;primary market
mercado secundário;secondary market
mercadoria depositada em armazéns alfandegados;bonded goods
mercadorias;goods, merchandise, commodities
mercadorias e moedas disponíveis para entrega imediata;spot
mercadorias em trânsito;goods in transit
mesa de operações (negociações);dealing room, trading desk
mesa-redonda;round table
meta;goal, target, aim
metais preciosos;bullion
método composto;compounding method
método da soma dos anos de vida útil;sum of the years' digits method (of depreciation)
método da soma dos dígitos (depreciação);sum-of-the-digits method (depreciation)
método de avaliação de benefícios projetados (pensões);projected benefit valuation method (pensions)
método de avaliação de benefícios provisionados (pensões);accrued benefit valuation method (pensions)
método de calcular taxas (de moedas) cruzadas;chain rate calculation method
método de caminho crítico - CPM;Critical Path Method - CPM
método de compra;purchase method
método de contabilidade;accounting method
método de contabilização de contratos concluídos;completed contract method of accounting
método de contrato concluído;completed contract method
método de custeio por absorção total;full absorption cost method
método de custo;cost method
método de custo atuarial;actuarial cost method
método de custo padrão;standard cost method
método de depreciação linear, método de depreciação em linha reta;straight-line method of depreciation
método de eliminação e/ou tratamento de lixo;waste management
método de equivalência patrimonial;equity method (of accounting)
método de estoque básico;base-stock method
método de fusão de interesses;pooling of interests method
método de liquidação (da empresa);shut-down basis
método de obtenção de recursos financeiros;financial funding method
método de percentagem completada;percentage-of-completion method
método de recuperação de custo;cost recovery method
método de rentabilidade;earnings method
método de retenção de recursos financeiros para saldar obrigações futuras;funding method
método de saldos decrescentes (depreciação), método de depreciação do saldo decrescente;declining balance method (of depreciation), diminishing balance method (of depreciation)
metodologia;methodology
microeconomia;microeconomics
"microfilme (s); microfilmar (v)";microfilm (n) (v)
mídia;media
milhagem;mileage
minério;ore (iron, etc.)
Ministério da Agricultura;Ministry of Agriculture
Ministério da Cultura;Ministry of Culture
Ministério da Defesa;Ministry of Defense
Ministério da Fazenda;Finance Ministry
Ministério da Fazenda;Ministry of Finance
Ministério da Previdência Social;Ministry of Social Security
Ministério das Relações Exteriores;Ministry of Foreign Affairs
ministério do desenvolvimento, indústria e comércio;ministry of development, industry and trade
Ministério do Meio Ambiente;Ministry of the Environment
Ministério do Planejamento;Ministry of Planning
Ministério do Trabalho;Ministry of Labor
Ministérios dos Negócios Interiores (Reino Unido);Home Office (UK)
ministro da educação;education minister
ministro da fazenda;finance minister
ministro da justiça;justice minister
ministro da saúde;health minister
ministro do planejamento;planning minister
"minuta (""boneco"")";"mock-up; draft"
minuta para discussão;exposure draft
missão comercial;trade mission
missão econômica;economic mission
mistura, mescla;blend
moção;motion
moda, modelo;fashion, model
modelado em relevo;embossed
modelagem;modeling
modelo;model, pattern
moderado;moderate
moderador;moderator
moderno;modern
modificação;alteration
modificar;modify
moeda bloqueada;blocked currency
moeda circulante;circulating medium, money supply
moeda conversível;convertible currency
moeda corrente;legal tender
moeda de um país estrangeiro, moeda estrangeira;foreign currency
moeda de valor constante;constant currency
moeda do relatório da empresa;reporting currency
moeda forte;hard currency
moeda funcional;functional currency
moeda local;local currency
moeda nacional;local currency
moeda não conversível;non-convertible currency
moeda-base;base currency
molde;pattern
monetário;monetary
monetarista;monetarist
monitorar;monitor
monopólio;monopoly
montante;amount
montante líquido nos livros contábeis;net carrying amount
montante recuperável;recoverable amount
moratória;moratorium
mostruário;showcase
motivo;ground, reason
móveis e utensílios;furniture and fixtures
mudança;change
mudança de posição;turnaround
mudança de princípio contábil;accounting change
mudar;change
"multa (s); multar (v)";fine (n) (v)
multinacional;multinational (company)
multiplicar;multiply
município;county
mutuante;lender
mutuário;borrower
mútuo de ouro;gold loan contracts
na média;on an average
nacionalismo;nationalism
nacionalização;nationalization
não cumprimento, não observância;failure to follow, failure to comply with
não incluído no balanço patrimonial;off balance sheet
não-adequado;unfit
não-ambíguo;unambiguos
não-amortizado;unamortized
não-aplicável;not applicable
não-apropriado;unappropriated
não-assinado;unsigned
não-atendido;unattended
não-auditado;unaudited
não-autorizado;unauthorized
não-cobrado;uncollected
não-comprovado;unwarranted
não-confirmado;unconfirmed
não-despendido;unexpended
não-distribuído;unallocated, unappropriated, undistributed
não-dividido;undivided
não-divulgado;undisclosed
não-econômico;uneconomic
não-emitido;unissued
não-escrito;unwritten
não-especificado;unspecified
não-extinto;unextinguished
não-financiado;unfunded
não-garantido;unsecured
não-identificável;unidentifiable
não-incorporado;unincorporated
não-linear;nonlinear
não-liquidado;unsettled
não-lucrativo;unprofitable
não-melhorado;unimproved
não-monetário;non-monetary
não-mudado;unchanged
não-ocupado;unoccupied
não-oficial;unofficial
não-onerado;unencumbered
não-operacional;non-operative
não-pagamento de imposto mediante expedientes legais;tax avoidance
não-pago;unpaid
não-pertinente;not applicable
não-programado;unscheduled
não-provisionado;unprovided
não-realizado;unearned, unrealized
não-reclamado;unclaimed
não-recorrente;non-recurring
não-regulamentado;unregulated
não-rentável;unprofitable
não-resgatável;non-redeemable
não-respondido;unanswered
não-segurado;uninsured
não-sindicalizado;non-unionized
não-solicitado;unsolicited
não-terminado;unfinished
não-usado;unused
não-vencido;unmatured, not yet due
não-vendido;unsold
negativa de parecer, negativa de opinião;disclaimer of opinion
negligência;negligence
negociação;negotiation
negociação (de mercadorias, de papéis financeiros);Trading
negociação coletiva;collective bargaining
negociação com data diferente da data-padrão;odd date trade
negociador;negotiator
negociante;businessman
negociar;negociate
negócio;business
negócio arriscado;risky business
negócio cativo;captive business
negócio principal da empresa;core business
negócio sólido;consistent business, sound business
negócios (a fazer);business (to do)
nicho (de mercado, etc.);niche
"nigligência (s); negligenciar (v)";neglect (n) (v)
níquel;nickel
nível de preços;price level
nível de qualidade aceitável;acceptable quality level
nível de risco;level of risk
nivelar;even, level, smooth
no local;in loco
no local de trabalho;on-site
no total;in the aggregate
nomeação;appointment, nomination
nomear;nominate
Nomenclatura Brasileira de Mercadorias - NBM;Brazilian Products Nomenclature
norma;norm
norma contábil;accounting standard
norma de auditoria;auditing standard
Normas Brasileiras de Contabilidade - NBC;Brazilian Accounting Standards - NBC
normas contábeis internacionais - IAS;International Accounting Standards - IAS
normas de relatório;reporting standards
normas de trabalho no campo;field work standards
nota de crédito;credit note
nota de débito;debit note
nota de devolução de material;material return note
nota de embarque;shipping order
nota de entrada, nota recebida;incoming note
nota de entrega;delivery note
nota de honorários;fee note
nota de recebimento;receiving note
nota de transferência de material;material transfer note
nota explicativa (às demonstrações financeiras);explanatory note (to financial statements)
nota promissória;promissory note
notas de curva de rendimento;yield curve notes
notas de rodapé (nas demonstrações financeiras);footnotes
Notas do Banco Central;Central Bank Notes
Notas do Tesouro Nacional;National Treasury Notes
notas explicativas às demonstrações contábeis em;notes to the financial statements as of
notícias;news
notificação de impostos ou outros tributos;assessment notice
notificação judicial;judicial notice
novação;novation
novo;new, fresh
nulo e sem efeito;null and void
número de conta;account number
número de funcionários;head count
número inteiro;integer
números aleatórios;random numbers
"objetivo (s); objetivar (v)";aim (n) (v)
objetos de uso pessoal;personal effects
objetos de valor;valuables
obras públicas;public works
obrigação;obligation, liability
obrigação acessória;accessory obligation
obrigação com cupom pleno;full coupon bond
obrigação com cupom zero;zero coupon bond
obrigação com impostos;tax liability
obrigação com juros;interest-bearing bond
obrigação com preço abaixo do par;discount bond
obrigação conversível;convertible bond
obrigação endossada;endorsed bond
obrigação garantida;secured liability, guaranteed bonds
obrigação inicial;primary liability
obrigação legal;legal liability
obrigação para benefícios sem direito adquirido (não-expirados) (pensões);non-vested benefit obligation (pensions)
obrigação primária;primary liability
obrigação reajustável;indexed bond
Obrigação Reajustável do Tesouro Nacional - ORTN;Readjustable Federal Treasury Bond
obrigação resgatável apenas no vencimento;non-callable bond
obrigações com taxa fixa;fixed rate notes
obrigações com taxa flutuante;floating rate notes - FRN
Obrigações do Fundo Nacional de Desenvolvimento - OFND;National Development fund Obligations
obrigações do tesouro (letras, etc.);treasury bonds, treasury bills
obrigações em moedas duplas;dua currency bonds
obrigações governamentais;government obligations, government bonds
obrigações não conversíveis em ações;non-convertible bonds
obrigações resgatáveis;callable bonds
obrigações sobre swaps;swaptions
obrigações vinculadas a commodities;commodity-linked bonds
obrigatório;mandatory
observar;observe
obsolescência de estoque;inventory obsolescence
obsoleto;obsolete
obstáculo;fence, barrier, impediment
obter vantagem;take advantage
ocasião oportuna;timing
ocultar (fraude);conceal
ocupação;occupancy, occupation
oferta;"supply; bid; offer"
oferta abaixo do valor justo;underbid, low ball
oferta de ações ao público;public offer, offering, launching
oferta de compra e de venda;bid and asked
oferta e procura;demand and supply
oferta em excesso;oversupply
oferta privada (EUA);private offering (USA)
oferta pública para aquisição do controle de uma empresa;takeover bid
oficina;workshop
oficioso;off-the-record
oligopólio;oligopoly
omissão;omission
onerar;encumber
ônus;encumbrance
ônus da prova;burden of proof
opção a descoberto;naked option, uncovered option
opção comprada (de títulos);purchased option
opção de compra de ações (EUA);stock option (USA)
opção de compra de títulos;call option
opção de venda (de papéis financeiros);put option
opção lançada;written option
opção negociada (em bolsa);traded option
opção sobre futuros;futures option
opções de ações;equity options
opções de commodities;commodity options
opções de moedas;currency options
opções de obrigações;bond options
opções de swaps;swap options
opções em acordos de taxas a termo;FRA options
opções negociadas particularmente;privately-negotiated options
opções transacionadas em bolsa;exchange traded options
operação;operation
operação a termo;forward transaction
operação abandonada;discontinued operation
operação casada;matched book agreement
operação com lucro;in the black, profitable operation
operação com prejuízo;in the red, unprofitalbe operation
operação de financiamento de vendas (vendor);sales financing operation (vendor)
operação descontinuada;discontinued operation
operação em andamento;ongoing operation
operação tartaruga;labor slowdown
operacional;operating
operações em trânsito;transit operations
operações reunidas, operações combinadas;combined operations
operador;operator
operador de máquina;machine operator
oportunidade de negócios;business opportunity
orçamento;budget
orçamento central;master budget
orçamento de capital;capital budget
orçamento de despesas;expense budget
orçamento de honorários;fee estimante
orçamento de horas;time budget
orçamento equilibrado;balanced budget
orçamento flexível;flexible budget
orçamento funcional;performance budget
orçamento operacional;operating budget
orçamento ultrapassado (de gastos, de tempo, etc.);overrun
orçamento variável;variable budget
ordem;order
ordem de pagamento;payment order
ordem de produção;job order
ordem de serviço;service order
Ordem dos Advogados do Brasil - OAB;Brazilian Bar Association - OAB
ordem permanente;standing order
ordenado;pay, salary
ordenado de horistas;wages
ordens de saque negociáveis;Negotiable Orders of Withdrawal - NOW
Ordinária ao Portador (ação) - OP;Common Bearer Stock (USA), Common Bearer Share (UK)
organização;organization
Organização das Nações Unidas - ONU;United Nations Organization - UNO
Organização dos Países Exportadores de Petróleo - OPEP;Organization of Petroleum Exporting Countries - OPEC
Organização e Métodos - O&M;Organization and Methods - O&M
Organização Não-Governamental - ONG;Non-Governmental Organization
organização sem fins lucrativos;nonprofit organization
organograma;organization chart
órgão federal;federal agency, government agency
órgão governamental regulamentador do comércio;board of trade
órgãos públicos;public agencies
orientação;guideline, guidance, advice
origem e aplicação de recursos;changes in financial position, changes in source and application of funds
ortodoxo;orthodox
ostracismo;"ostracism; limbo"
ouro em barras;bar gold
outorgado;grantee
outorgante;grantor
outras receitas;other income
outros títulos quase governamentais;other quasi-governmental securities
overgold;overgold
pacote;package
pacote de medidas financeiras;financial package
pacto;pact
padrão;standard, pattern
padrão de vida;standard of living
padrão ouro;gold standard
pagador;payer
pagamento;payment
pagamento adiantado;advance payment
pagamento antecipado;prepayment, payment in advance
pagamento atrasado;late payment
pagamento contra entrega;Cash On Delivery - COD
pagamento de desligamento de funcionário;severance pay
pagamento de férias;"vacation pay (USA); holiday pay (UK)"
pagamento em dinheiro;for cash
pagamento em espécie;payment in kind
pagamento inicial, sinal, entrada;down payment
pagamento parcelado, pagamento parcial;progress payment
pagamento por conta;payment on account
pagar;pay out
pagar (uma dívida) até o vencimento;honor
pagar à medida que recebe;pay as you earn
pagar na medida do uso;pay as you go
pagar por hora;pay by the hour
pago;paid, paid-in
pago a menos;underpaid
pago antecipadamente;prepaid
painel;panel
painel de comando;swithboard
painel de controle;control panel
país desenvolvido;developed country
país em desenvolvimento;developing country
país industrializado;industrialized country
país menos desenvolvido;less developed country
país subdesenvolvido;underdeveloped country
palestra;address, speech
panelista;panellist
papéis (valores/títulos) financeiros;financial instruments
papéis de trabalho;working papers
papéis financeiros de curto prazo de liquidez imediata;cash market
papel (financeiro) negociável;negotiable instrument
papel (função);role
papel comercial;commercial paper
papel de curto prazo;short bill
papelaria;stationery
papel-moeda;"paper money; greenback (USA)"
par (número);even
par, valor par;par, par value
para melhor atender a;best suited for
paraestatal;quasi-public organization
parágrafo;paragraph
parágrafo do escopo (no parecer de auditoria);scope paragraph
paraíso fiscal;"tax shelter, tax haven (it is not ""heaven"")"
paralisação;stoppage
parâmetros;parameters
parcela;parcel, installment, quota
parcela de contribuição dos acionistas em excesso ao valor nominal das ações, capital excedente;capital surplus
parcimônia;thrift
parecer;opinion
parecer adverso;adverse opinion
parecer com abstenção de opinião, negativa de parecer;disclaimer of opinion
parecer com ressalva;qualified opinion
parecer do auditor independente;"opinion of independente accountant, report of independent public accountants; auditor's opinion"
Parecer Normativo (Fiscal) - PN;Regulatory Opinion (Tax)
parecer parcial, isto é, que não cobre as demonstrações no seu conjunto;piecemeal opinion
